,,,,,,,,,,,, 
,Labs Clarity Calculator,,,,,,,,,,,
,,,,,,,,,,,,
,Name : ,,,,,,,,,,,
,Lab Test Date : , 12/30/2025,,,,,,,,,,
,,,,,,,,,,,,
 , Cardiac Function,,,,,,,,,,,
,Marker,Target Range,Value,Delta from Target,Evaluation,,Weakness / Possibilities,Marker Description,Header Row,Value Row,Highlight,
,NT- proBNP,<125,,,,,,"Used to help detect, diagnose, and evaluate the severity of congestive heart failure. Peptide released in response to cardiac wall stress or stretch.",5,,,
,,,,,,,,,,,,
 , Inflammation,,,,,,,,,,,
,Marker,Target Range,Value,Delta from Target,Evaluation,,Weakness / Possibilities,Marker Description,Header Row,Row Match,Highlight,
,CRP (C-reactive protein),<1.0,,,,,,"Acute phase inflammatory reactant made in the liver.  It is primarily synthesized by hepatocytes under stimulation from TNF, IL-1, and IL-6. Blood plasma is oxidizing.  Early marker for cellular inflammation.  Involved with Leptin Resistance.  Mitochondrial Leakage at cytochrome 1.",8,,,
,Homocysteine,5 - 9,,,,,,"Byproduct of methionine production, Methylation status marker.  Inflammatory if high.",11,,,
,Uric Acid (Male),3.7 - 6.0,,,,,,Breakdown product of purine protein to be removed during excretion.,21,,,
,Uric Acid (Female),3.2 - 5.5,,,,,,Breakdown product of purine protein to be removed during excretion.,24,,,
,,,,,,,,,,,,
 , Anemia,,,,,,,,,,,
,Marker,Target Range,Value,Delta from Target,Evaluation,,Weakness / Possibilities,Marker Description,Header Row,Row Match,Highlight,
,Iron,85 - 130,,,,,,"Measures the circulating Iron in the blood that is attached to transferrin.  Makes up some protein (like hemoglobin) and is involved in oxygen transport, cellular respiration, removal of carbon dioxide and toxin residue from cells.",27,,,
,UIBC,150 - 350,,,,,,About 1/3rd of your blood’s transferrin is always working to transport iron.  That leaves extra iron-binding capacity known as UIBC.,30,,,
,TIBC,250 - 350,,,,,,Measures the body’s ability to bind iron with transferrin.,33,,,
,Transferrin,200 - 360,,,,,,It compares the amount of iron in the blood stream to the capacity of the red blood cells to transport iron.,36,,,
,Transferrin Saturation (%),12 - 45,,,,,,It compares the amount of iron in the blood to the capacity of the blood to transport iron in percentage.,39,,,
,Vitamin B12,200 - 1000,,,,,,"Key role in normal functioning of brain, nervous system and red blood cell formation and blood oxygenation.",14,,,
,Folate,4.6 - 9.0,,,,,,"Vitamin B9, key player in Methylation and prevention of cancers and cognitive disorders. Formation of red blood cells and DNA.",18,,,
,Ferritin (Male),20 - 100,,,,,,The most sensitive test to detect iron deficiency. Main storage form of iron in the body.  ,101,,,
