,,,,,,,,,,, 
,Reference Values,,,,,,,,,,
,,,,,,,,,,,
,Test,Target Range,Target Range From,Target Range To,Range,Formula Value,Evaluation,Red Highlight,Weakness-Possibilities,Test Description,
,NT- proBNP,<125,0,124,<125,0,Normal,,,"Used to help detect, diagnose, and evaluate the severity of congestive heart failure. Peptide released in response to cardiac wall stress or stretch.",
,NT- proBNP,,,,125 - 450,125,High,TRUE,Moderate Risk. Can cause a 4x increase in all mortality.,,
,NT- proBNP,,,,>450,451,High,TRUE,Severe Risk. 80% chance of cardiovascular incident within one year.,,
,CRP (C-reactive protein),<1.0,0,0.9,<1.0,0,Normal,,,"Acute phase inflammatory reactant made in the liver.  It is primarily synthesized by hepatocytes under stimulation from TNF, IL-1, and IL-6. Blood plasma is oxidizing.  Early marker for cellular inflammation.  Involved with Leptin Resistance.  Mitochondrial Leakage at cytochrome 1.",
,CRP (C-reactive protein),,,,1.0 - 3.0,1,High,TRUE,"Moderate. Acute infections, toxic exposure, leaky gut, Leptin/insulin resistance, elevated IL-6, IL-1, TNF, rheumatism, mitochondrial leaking",,
,CRP (C-reactive protein),,,,>3.0,3.1,High,TRUE,"Severe. Acute infections, toxic exposure, leaky gut, Leptin/insulin resistance, elevated IL-6, IL-1, TNF, rheumatism, mitochondrial leaking",,
,Homocysteine,5 - 9,5,9,,0,Low,TRUE,Over methylation,"Byproduct of methionine production, Methylation status marker.  Inflammatory if high.",
,Homocysteine,,,,5 - 9,5,Normal,,,,
,Homocysteine,,,,,9.1,High,TRUE,"Low Methylation, high inflammation, Low B6, B9, B12.  Serotonin/ Melatonin imbalance, Low Glutathione.  Midbrain overfiring, Medulla inflamed, Vagus nerve inhibited, Deuterium toxicity, leaky gut, Selenium deficiency.",,
,Vitamin B12,200 - 1000,200,1000,<200 Severe,0,Low,TRUE,,"Key role in normal functioning of brain, nervous system and red blood cell formation and blood oxygenation.",
,Vitamin B12,,,,200 - 600,200,Normal,,,,
,Vitamin B12,,,,">600 (1,000 Optimal)",601,Normal,,,,
,Vitamin B12,,,,,1001,High,TRUE,"Over supplementation, liver disease, leukemia, diabetes.",,
,Folate,4.6 - 9.0,4.6,9,<4.6,0,Low,TRUE,"Low Methylation, anemia, weakness, sore tongue, headaches, heart palpitations, irritability, depression. Birth defects if pregnant. Tx: Homocysteine Factor","Vitamin B9, key player in Methylation and prevention of cancers and cognitive disorders. Formation of red blood cells and DNA.",
,Folate,,,,4.6 - 9.0,4.6,Normal,,,,
,Folate,,,,9.0 - 20,9,High,TRUE,Over supplementation,,
,Uric Acid (Male),3.7 - 6.0,3.7,6,,0,Low,TRUE,"Low B12, incomplete protein digestion, acidic pH, low in zinc and niacin, losing cellular water.",Breakdown product of purine protein to be removed during excretion.,
,Uric Acid (Male),,,,3.7 - 6.0,3.7,Normal,,,,
,Uric Acid (Male),,,,,6.1,High,TRUE,"Gout, arteriosclerosis., Brain injury, DNA damage, cellular hypoxia.",,
,Uric Acid (Female),3.2 - 5.5,3.2,5.5,,0,Low,TRUE,"Low B12, incomplete protein digestion, acidic pH, low in zinc and niacin, losing cellular water.",Breakdown product of purine protein to be removed during excretion.,
,Uric Acid (Female),,,,3.2 - 5.5,3.2,Normal,,,,
,Uric Acid (Female),,,,,5.6,High,TRUE,"Gout, arteriosclerosis., Brain injury, DNA damage, cellular hypoxia.",,
,Iron,85 - 130,85,130,,0,Low,TRUE,"Anemia, protein malnutrition, causes fever, lack of energy, diminished body functions, blood loss. Check anemia flowchart.","Measures the circulating Iron in the blood that is attached to transferrin.  Makes up some protein (like hemoglobin) and is involved in oxygen transport, cellular respiration, removal of carbon dioxide and toxin residue from cells.",
,Iron,,,,85 - 130,85,Normal,,,,
,Iron,,,,,131,High,TRUE,"Hemachromatosis, too much iron in supplements, deficient in vitamin E, B-6, folic acid, copper and/or vitamin C.",,
,UIBC,150 - 350,150,350,,0,Low,TRUE,"Anemia, protein malnutrition, causes fever, lack of energy, diminished body functions. Tx:  Correlate with iron numbers and Anemia flowchart.",About 1/3rd of your blood’s transferrin is always working to transport iron.  That leaves extra iron-binding capacity known as UIBC.,
,UIBC,,,,150 - 350,150,Normal,,,,
,UIBC,,,,,351,High,TRUE,"Hemachromatosis, too much iron in supplements, deficient in vitamin E, B-6, folic acid, copper and/or vitamin C.",,
,TIBC,250 - 350,250,350,,0,Low,TRUE,"Anemia, protein malnutrition, causes fever, lack of energy, diminished body functions. Tx:  Correlate with iron numbers and Anemia flowchart.",Measures the body’s ability to bind iron with transferrin.,
